judge,selector,coverage,risk
Phi-4,judge_entropy,0.49999999999999994,0.957838815102699
Phi-4,judge_entropy,0.5499999999999999,0.963874990813317
Phi-4,judge_entropy,0.6,0.9673012080961949
Phi-4,judge_entropy,0.65,0.9713152437890498
Phi-4,judge_entropy,0.7,0.9800688828317391
Phi-4,judge_entropy,0.75,0.9862030067375924
Phi-4,judge_entropy,0.7999999999999999,0.9953261243864467
Phi-4,judge_entropy,0.85,0.9961622507954873
Phi-4,judge_entropy,0.9,0.9988926444307232
Phi-4,judge_entropy,0.95,1.0019924420688004
Phi-4,judge_entropy,1.0,1.0039258682888874
Phi-4,oracle,0.05,0.0
Phi-4,random,0.05,0.9953924272143293
Phi-4,oracle,0.1,0.0
Phi-4,random,0.1,0.9958801434500778
Phi-4,oracle,0.15,0.0
Phi-4,random,0.15,0.9976131299769716
Phi-4,oracle,0.2,0.0
Phi-4,random,0.2,0.9985902803485178
Phi-4,oracle,0.25,0.0
Phi-4,random,0.25,1.0022859892321792
Phi-4,oracle,0.3,0.0
Phi-4,random,0.3,1.002002823258071
Phi-4,oracle,0.35,0.014191520804713344
Phi-4,random,0.35,1.0030660786099008
Phi-4,oracle,0.39999999999999997,0.1374255803873732
Phi-4,random,0.39999999999999997,1.0034436979928871
Phi-4,oracle,0.44999999999999996,0.233272670179148
Phi-4,random,0.44999999999999996,1.0032470339240098
Phi-4,oracle,0.49999999999999994,0.30994933129600905
Phi-4,random,0.49999999999999994,1.0021339444703774
Phi-4,oracle,0.5499999999999999,0.37268411836982734
Phi-4,random,0.5499999999999999,1.0026853349014808
Phi-4,oracle,0.6,0.4249626546520164
Phi-4,random,0.6,1.0032520892132761
Phi-4,oracle,0.65,0.46919801868016314
Phi-4,random,0.65,1.0040684497688384
Phi-4,oracle,0.7,0.5071138128027439
Phi-4,random,0.7,1.0035810760760926
Phi-4,oracle,0.75,0.5399739950362136
Phi-4,random,0.75,1.0039034549676715
Phi-4,oracle,0.7999999999999999,0.6206322428597789
Phi-4,random,0.7999999999999999,1.003884448569502
Phi-4,oracle,0.85,0.7017739159064786
Phi-4,random,0.85,1.0038135984849927
Phi-4,oracle,0.9,0.7738995932528183
Phi-4,random,0.9,1.003994890677858
Phi-4,oracle,0.95,0.8778690147013427
Phi-4,random,0.95,1.004212721196523
